CreatedAtUTC,Stem,SnapshotPath,ContentHash,Rows,FirstDT,LastDT,Source
2026-07-01T20:30:59.059045+00:00,rolling_origin_replay_results,forecast_outputs\replay_runs\rolling_origin_replay_results_20260701_203058_10bc79124e.csv,10bc79124e68bfeb534e9b0d34c56679870191a2447eded5b8be25323b387228,7680,2024-10-13T00:00:00+00:00,2026-06-13T23:00:00+00:00,rolling_origin_replay
2026-07-01T20:30:59.079618+00:00,rolling_origin_replay_stage_metrics,forecast_outputs\replay_runs\rolling_origin_replay_stage_metrics_20260701_203059_363efb36be.csv,363efb36be99f45dbbf68bdccc19cb6eb1c54c92516da16924c427721c843211,15,,,rolling_origin_replay
2026-07-01T20:30:59.100099+00:00,rolling_origin_replay_origin_metrics_by_stage,forecast_outputs\replay_runs\rolling_origin_replay_origin_metrics_by_stage_20260701_203059_16b91632b2.csv,16b91632b27fe570ba3703731133ee54b4b92b0b752d78d0c6c9aaade4a419b5,300,,,rolling_origin_replay
2026-07-01T20:30:59.111135+00:00,production_readiness_scorecard,forecast_outputs\replay_runs\production_readiness_scorecard_20260701_203059_824a44e6ba.csv,824a44e6ba18d2f38061420709a937863976d04f4829fb9c1fcb9ebf0235c931,9,,,rolling_origin_replay
2026-07-01T20:30:59.162578+00:00,june_hot_origin_diagnostics,forecast_outputs\replay_runs\june_hot_origin_diagnostics_20260701_203059_f4d267a87f.csv,f4d267a87f26630f40c26108f343e02d09869b91817d6d90f530d1e6aa0fbfa2,266,2025-06-01T14:00:00+00:00,2026-06-13T20:00:00+00:00,rolling_origin_replay
2026-07-01T22:32:20.097576+00:00,rolling_origin_replay_results,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_results_20260701_223218_35104c9e84.csv,35104c9e84def14abddb4cc8e9bec25d34c978cef865bb3813646afc3eb60dd7,7680,2024-10-13T07:00:00+00:00,2026-06-14T06:00:00+00:00,rolling_origin_replay
2026-07-01T22:32:20.110087+00:00,rolling_origin_replay_stage_metrics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_stage_metrics_20260701_223220_e4544d65a4.csv,e4544d65a47e679aa74cdac6cc58249a363d13904f76c648261eb97314da10fe,15,,,rolling_origin_replay
2026-07-01T22:32:20.138636+00:00,rolling_origin_replay_origin_metrics_by_stage,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_origin_metrics_by_stage_20260701_223220_d6c7862efb.csv,d6c7862efb41ee4d69c133d675fd0cc48c09b077c2fdead36939dbd56dad13b9,300,,,rolling_origin_replay
2026-07-01T22:32:20.148062+00:00,production_readiness_scorecard,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\production_readiness_scorecard_20260701_223220_99f982acce.csv,99f982accec52c215b91667696d510467f805d5f0ec88930e1b22a3747ff4dc4,9,,,rolling_origin_replay
2026-07-01T22:32:20.207380+00:00,june_hot_origin_diagnostics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\june_hot_origin_diagnostics_20260701_223220_d1fc03ac95.csv,d1fc03ac9556f5e5407bd92dc63a17ca341dbbba1b4627d32ca789c15860779c,266,2025-06-01T21:00:00+00:00,2026-06-14T03:00:00+00:00,rolling_origin_replay
2026-07-02T01:25:56.162514+00:00,rolling_origin_replay_results,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_results_20260702_012555_81e4d835ac.csv,81e4d835ac0f07a322a69140b974b076cbc72c30fc097f078c1f2af253915e97,7680,2024-10-13T07:00:00+00:00,2026-06-14T06:00:00+00:00,rolling_origin_replay
2026-07-02T01:25:56.182626+00:00,rolling_origin_replay_stage_metrics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_stage_metrics_20260702_012556_2861489c8e.csv,2861489c8e722953bf811282e206e302c4171e3d9db5568a8a1d8c37cefc1551,15,,,rolling_origin_replay
2026-07-02T01:25:56.211647+00:00,rolling_origin_replay_origin_metrics_by_stage,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_origin_metrics_by_stage_20260702_012556_586f1d8dfd.csv,586f1d8dfd0fcb87c07fb870c23384a48a89a858b878ad3805d6e505a27f7b82,300,,,rolling_origin_replay
2026-07-02T01:25:56.220952+00:00,production_readiness_scorecard,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\production_readiness_scorecard_20260702_012556_43278ffef3.csv,43278ffef3f69875f276f12ad72cb37657cf715ee2aa744c6625a6fcd46d5454,9,,,rolling_origin_replay
2026-07-02T01:25:56.288760+00:00,june_hot_origin_diagnostics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\june_hot_origin_diagnostics_20260702_012556_eae53ad8ad.csv,eae53ad8ad6539d5caf522a875037aeb04316a99a7e5085b7bf0a52ec5b79fe9,266,2025-06-01T21:00:00+00:00,2026-06-14T03:00:00+00:00,rolling_origin_replay
2026-07-02T05:05:52.463155+00:00,rolling_origin_replay_results,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_results_20260702_050551_2534f1e699.csv,2534f1e699ad6e33dcc7cded59ffe478b9d0a7cfd2d35a04b5942a81ed6a4d40,7680,2024-10-13T07:00:00+00:00,2026-06-14T06:00:00+00:00,rolling_origin_replay
2026-07-02T05:05:52.473129+00:00,rolling_origin_replay_stage_metrics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_stage_metrics_20260702_050552_779db1ed4f.csv,779db1ed4f0247d769b044fea540f07225b1f050ba973725aa8e5694bae9e150,15,,,rolling_origin_replay
2026-07-02T05:05:52.501675+00:00,rolling_origin_replay_origin_metrics_by_stage,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_origin_metrics_by_stage_20260702_050552_1f41361517.csv,1f4136151770100bd97469b131e3ec60a0349dd37498948fcc09930a4cc1a51e,300,,,rolling_origin_replay
2026-07-02T05:05:52.511180+00:00,production_readiness_scorecard,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\production_readiness_scorecard_20260702_050552_1462930f18.csv,1462930f1893a492d20e20f2c6c09e49bea9b4368bc22cd81fdd8ed9ff4ab804,9,,,rolling_origin_replay
2026-07-02T05:05:52.603891+00:00,june_hot_origin_diagnostics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\june_hot_origin_diagnostics_20260702_050552_0b8f2b8a44.csv,0b8f2b8a4430d7a8b03a890b2e146c7fceb1108b6b2fd14d46aa3c8b39f00a76,266,2025-06-01T21:00:00+00:00,2026-06-14T03:00:00+00:00,rolling_origin_replay
2026-07-02T17:58:47.360542+00:00,rolling_origin_replay_results,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_results_20260702_175846_2afb57b31c.csv,2afb57b31c4b3ee3054e638b00cf39b24e579df6a744a38c95aec0194384a406,7680,2024-10-13T07:00:00+00:00,2026-06-14T06:00:00+00:00,rolling_origin_replay
2026-07-02T17:58:47.380655+00:00,rolling_origin_replay_stage_metrics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_stage_metrics_20260702_175847_cce2e84210.csv,cce2e8421074cbc3cbbe8d2466297bc8edd797403f006a80a6c3e5a04bc6dcd7,15,,,rolling_origin_replay
2026-07-02T17:58:47.405688+00:00,rolling_origin_replay_origin_metrics_by_stage,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_origin_metrics_by_stage_20260702_175847_7aa155d4f5.csv,7aa155d4f50bbc32b9c67021cd71dd54e96c2d05adb8f8f727f1103f77b4e04d,300,,,rolling_origin_replay
2026-07-02T17:58:47.415689+00:00,production_readiness_scorecard,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\production_readiness_scorecard_20260702_175847_748c59e537.csv,748c59e53779002a964d66cf2da7ccded7c54847d70192f974eefccc791ef115,9,,,rolling_origin_replay
2026-07-02T17:58:47.474739+00:00,june_hot_origin_diagnostics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\june_hot_origin_diagnostics_20260702_175847_e4d4637249.csv,e4d46372496ac816645d42c1e3c1fecb0f7ddd1b47b0580a97e36f1387798e16,266,2025-06-01T21:00:00+00:00,2026-06-14T03:00:00+00:00,rolling_origin_replay
2026-07-02T18:47:10.604858+00:00,rolling_origin_replay_results,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_results_20260702_184710_bc527b96b8.csv,bc527b96b8691aab3338c582069581f4c79a1854324429e3ac076a8ad7e3e5c9,384,2025-06-22T07:00:00+00:00,2025-07-08T06:00:00+00:00,rolling_origin_replay
2026-07-02T18:47:10.615571+00:00,rolling_origin_replay_stage_metrics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_stage_metrics_20260702_184710_aad7fab2ca.csv,aad7fab2cac6b5f3f535524ab9b943a2b0b6a01371e3a1c5113335962ad2ec91,14,,,rolling_origin_replay
2026-07-02T18:47:10.624079+00:00,rolling_origin_replay_origin_metrics_by_stage,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_origin_metrics_by_stage_20260702_184710_30015dd232.csv,30015dd232f21131f39a8420b7e61cd77e98262a3b13979f450fbf21d22c58c8,14,,,rolling_origin_replay
2026-07-02T18:47:10.634597+00:00,production_readiness_scorecard,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\production_readiness_scorecard_20260702_184710_279475b6bb.csv,279475b6bb11aa532e2aea85076659656353fdd27d238366cc39849551042a02,9,,,rolling_origin_replay
2026-07-02T18:47:10.659133+00:00,june_hot_origin_diagnostics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\june_hot_origin_diagnostics_20260702_184710_57ce5abfda.csv,57ce5abfda06540f34fa01ce244b0326a16ceb9e245cb445ad6ba2c5dd9c7f91,56,2025-06-23T21:00:00+00:00,2025-07-01T03:00:00+00:00,rolling_origin_replay
2026-07-02T21:08:17.697377+00:00,rolling_origin_replay_results,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_results_20260702_210815_d746cf5cf3.csv,d746cf5cf3dd813003f686331f6a0c058bc77336426b2ba0c846f5aa4bdcbed1,7680,2024-10-13T07:00:00+00:00,2026-06-14T06:00:00+00:00,rolling_origin_replay
2026-07-02T21:08:17.735913+00:00,rolling_origin_replay_stage_metrics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_stage_metrics_20260702_210817_83e3203a9d.csv,83e3203a9d037011bf332e2f7e2bbd30db24304c7dce3292414ece2ef984a48a,15,,,rolling_origin_replay
2026-07-02T21:08:17.794461+00:00,rolling_origin_replay_origin_metrics_by_stage,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_origin_metrics_by_stage_20260702_210817_fc6d136ad3.csv,fc6d136ad3f47c5c176e06c7947793adee1b9e98307acce42ce7fbd486be463e,300,,,rolling_origin_replay
2026-07-02T21:08:17.824987+00:00,production_readiness_scorecard,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\production_readiness_scorecard_20260702_210817_bc8394a018.csv,bc8394a018d1933dc2cee46c220564f7ba61cee40ce4f31a14b2e44a25b8e608,9,,,rolling_origin_replay
2026-07-02T21:08:17.963661+00:00,june_hot_origin_diagnostics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\june_hot_origin_diagnostics_20260702_210817_a250b0fc6b.csv,a250b0fc6b57e2f9423ef41de40da8bc58981f175e7838eb06dc6abb42400594,266,2025-06-01T21:00:00+00:00,2026-06-14T03:00:00+00:00,rolling_origin_replay
2026-07-02T23:29:52.595000+00:00,rolling_origin_replay_results,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_results_20260702_232951_51abeeaa99.csv,51abeeaa991e2bd59ae74ec695799f57bcf4f89fb1275fea2a07324ef5ad1860,7680,2024-10-13T07:00:00+00:00,2026-06-14T06:00:00+00:00,rolling_origin_replay
2026-07-02T23:29:52.604998+00:00,rolling_origin_replay_stage_metrics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_stage_metrics_20260702_232952_bc5b3670eb.csv,bc5b3670eb42ee342c77b5c781e6cdc2bb86ffab3eeac83912fe4bcf5d5f8946,15,,,rolling_origin_replay
2026-07-02T23:29:52.631967+00:00,rolling_origin_replay_origin_metrics_by_stage,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_origin_metrics_by_stage_20260702_232952_41461ff1be.csv,41461ff1beb5814bdf06c46063dba25778e0ffe47c7bd75726d19438d9939db0,300,,,rolling_origin_replay
2026-07-02T23:29:52.641971+00:00,production_readiness_scorecard,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\production_readiness_scorecard_20260702_232952_d4dc325d9f.csv,d4dc325d9f3ba591c9d3420de49e30e7dbad845682de2ed530c92a414e28db10,9,,,rolling_origin_replay
2026-07-02T23:29:52.705146+00:00,june_hot_origin_diagnostics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\june_hot_origin_diagnostics_20260702_232952_4c85d94fb2.csv,4c85d94fb2f4e8d892606cae5bd6f4bb8fa97d6bc1eb9a04e7c7f1967bdd47b8,266,2025-06-01T21:00:00+00:00,2026-06-14T03:00:00+00:00,rolling_origin_replay
2026-07-03T04:58:59.429449+00:00,rolling_origin_replay_results,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_results_20260703_045858_1ceb90206f.csv,1ceb90206f3eeeb240021bf589a560bfae0ecbd9e4fae271dac6c62f22899920,7680,2024-10-13T07:00:00+00:00,2026-06-14T06:00:00+00:00,rolling_origin_replay
2026-07-03T04:58:59.442420+00:00,rolling_origin_replay_stage_metrics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_stage_metrics_20260703_045859_618bab4864.csv,618bab4864f527b67bae3b986c20e2d3a89f589dba2ee7c2322e075de40fbb6d,15,,,rolling_origin_replay
2026-07-03T04:58:59.471449+00:00,rolling_origin_replay_origin_metrics_by_stage,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_origin_metrics_by_stage_20260703_045859_975913da16.csv,975913da166ac66447bd279d906dc3ba4f39ebabc876ac17bc57dc7be15a6827,300,,,rolling_origin_replay
2026-07-03T04:58:59.483450+00:00,production_readiness_scorecard,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\production_readiness_scorecard_20260703_045859_48a173347a.csv,48a173347ac00516ddca8e0aa220a67d64494b7c48f0518c717efba5f1434f8d,9,,,rolling_origin_replay
2026-07-03T04:58:59.553171+00:00,june_hot_origin_diagnostics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\june_hot_origin_diagnostics_20260703_045859_6f5f4b47e5.csv,6f5f4b47e5c42204d9e1dca7294707d2f9f57e16951d5b3dcf65b3437a5cce31,266,2025-06-01T21:00:00+00:00,2026-06-14T03:00:00+00:00,rolling_origin_replay
2026-07-03T17:00:12.631386+00:00,rolling_origin_replay_results,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_results_20260703_170011_f7c36b5cb3.csv,f7c36b5cb394d2d4441a93365098a3be2b9567ea36f1559fbe6aac4a133a4750,7680,2024-10-13T07:00:00+00:00,2026-06-14T06:00:00+00:00,rolling_origin_replay
2026-07-03T17:00:12.658415+00:00,rolling_origin_replay_stage_metrics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_stage_metrics_20260703_170012_22c17c3af0.csv,22c17c3af0ced8a4f17254216131a21650483493fea6a5b1368c67e428260269,15,,,rolling_origin_replay
2026-07-03T17:00:12.690384+00:00,rolling_origin_replay_origin_metrics_by_stage,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_origin_metrics_by_stage_20260703_170012_37d76d2c75.csv,37d76d2c75eb986aa327547d1c951dde2928c505016be03baaedd02ed8e5e13e,300,,,rolling_origin_replay
2026-07-03T17:00:12.705388+00:00,production_readiness_scorecard,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\production_readiness_scorecard_20260703_170012_88638db3c1.csv,88638db3c1707700f0174ff255fbff68b9314fcd205f44b5f8fe42811387b259,9,,,rolling_origin_replay
2026-07-03T17:00:12.794252+00:00,june_hot_origin_diagnostics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\june_hot_origin_diagnostics_20260703_170012_ac814f58ed.csv,ac814f58ed1b20ac8736cf6e988502928d6f3bbfa41bbe2fbf0abfabf5e669c2,266,2025-06-01T21:00:00+00:00,2026-06-14T03:00:00+00:00,rolling_origin_replay
2026-07-04T04:45:08.594079+00:00,rolling_origin_replay_results,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_results_20260704_044507_d05f0e7668.csv,d05f0e7668c3b726bbcc530c078bded60e9c2f05ccf055abd5b4b3649267c470,7680,2024-10-13T07:00:00+00:00,2026-06-14T06:00:00+00:00,rolling_origin_replay
2026-07-04T04:45:08.613503+00:00,rolling_origin_replay_stage_metrics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_stage_metrics_20260704_044508_1d2a74d41c.csv,1d2a74d41c9be44f1970907b3f0ee7c151b64c535216be1c803321340f99fc41,15,,,rolling_origin_replay
2026-07-04T04:45:08.640552+00:00,rolling_origin_replay_origin_metrics_by_stage,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_origin_metrics_by_stage_20260704_044508_56f7c1f8ca.csv,56f7c1f8ca9ba6306e92498b26ba533165cb1e274e068bd602f1bb523a45bf8e,300,,,rolling_origin_replay
2026-07-04T04:45:08.652579+00:00,production_readiness_scorecard,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\production_readiness_scorecard_20260704_044508_ffc5873f22.csv,ffc5873f22ea476f6be9a9b3e1dd48935c4fd7224210492ecca5eb22d6266136,9,,,rolling_origin_replay
2026-07-04T04:45:08.715012+00:00,june_hot_origin_diagnostics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\june_hot_origin_diagnostics_20260704_044508_a71a082e26.csv,a71a082e260de4fb5321e6f9470397891f12384836c639554888bbc6bcf506c0,266,2025-06-01T21:00:00+00:00,2026-06-14T03:00:00+00:00,rolling_origin_replay
2026-07-04T06:37:05.077508+00:00,rolling_origin_replay_results,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_results_20260704_063703_23cf963896.csv,23cf963896fd33925733853a91ad6abb0364c41e49be2847d579728c76d10a66,7680,2024-10-13T07:00:00+00:00,2026-06-14T06:00:00+00:00,rolling_origin_replay
2026-07-04T06:37:05.096286+00:00,rolling_origin_replay_stage_metrics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_stage_metrics_20260704_063705_20de8272ed.csv,20de8272edc2c900409e42f493d27afdb7fd813be699f5b59ca60a292341e6e9,15,,,rolling_origin_replay
2026-07-04T06:37:05.223806+00:00,rolling_origin_replay_origin_metrics_by_stage,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_origin_metrics_by_stage_20260704_063705_ce25786bee.csv,ce25786beee140e829b0c207ca40dba03aae387cb23e16d30e7fcd7eb1df7a08,300,,,rolling_origin_replay
2026-07-04T06:37:05.290820+00:00,production_readiness_scorecard,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\production_readiness_scorecard_20260704_063705_8c3077fe03.csv,8c3077fe034ce4b852f3ae5cd599f7eaea3371cafa0195f3eb5d724f5dfe5bf5,9,,,rolling_origin_replay
2026-07-04T06:37:05.416582+00:00,june_hot_origin_diagnostics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\june_hot_origin_diagnostics_20260704_063705_e1c1ce24d4.csv,e1c1ce24d4a3888ed557ed9368e471f880705a923d1698b3dd23d17a0a0697a8,266,2025-06-01T21:00:00+00:00,2026-06-14T03:00:00+00:00,rolling_origin_replay
2026-07-04T16:53:19.325331+00:00,rolling_origin_replay_results,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_results_20260704_165317_c408c85f3d.csv,c408c85f3dc6e73f2a15a57c730969a900c27d514d48f2cbc3d7a4f448c1f478,7680,2024-10-13T07:00:00+00:00,2026-06-14T06:00:00+00:00,rolling_origin_replay
2026-07-04T16:53:19.366332+00:00,rolling_origin_replay_stage_metrics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_stage_metrics_20260704_165319_57fbd110d4.csv,57fbd110d4678b3fa6379029d1ecedcc2cfbcf0e373c68b2e35c89ac9fe2c11d,15,,,rolling_origin_replay
2026-07-04T16:53:19.416851+00:00,rolling_origin_replay_origin_metrics_by_stage,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_origin_metrics_by_stage_20260704_165319_a835ac4e93.csv,a835ac4e939f4b47ae0e69876137ceffff90d2772207d81399393a99055e8c41,300,,,rolling_origin_replay
2026-07-04T16:53:19.428853+00:00,production_readiness_scorecard,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\production_readiness_scorecard_20260704_165319_96511a1cba.csv,96511a1cba59dd2d553769dc7180fdef428dfcc9c9c84389bcfe876ccd3877d7,9,,,rolling_origin_replay
2026-07-04T16:53:19.521370+00:00,june_hot_origin_diagnostics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\june_hot_origin_diagnostics_20260704_165319_df42aef738.csv,df42aef738452a8283e1544ffd642630d5e70b54bfe981ad778043992c993197,266,2025-06-01T21:00:00+00:00,2026-06-14T03:00:00+00:00,rolling_origin_replay
2026-07-05T22:07:29.756296+00:00,rolling_origin_replay_results,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_results_20260705_220728_235940e35b.csv,235940e35b501c24b48dd238cdbb2ac0aae329760a4d2ff29e085b2d52416958,7680,2024-10-13T07:00:00+00:00,2026-06-14T06:00:00+00:00,rolling_origin_replay
2026-07-05T22:07:29.776611+00:00,rolling_origin_replay_stage_metrics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_stage_metrics_20260705_220729_6d3b9b8236.csv,6d3b9b8236699b9584aa32628373fc7658f5146b74c3ee275c32ca7fa5fe3d64,15,,,rolling_origin_replay
2026-07-05T22:07:29.806548+00:00,rolling_origin_replay_origin_metrics_by_stage,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_origin_metrics_by_stage_20260705_220729_2a3f4df1ca.csv,2a3f4df1ca7f08246a547957ee71ffce744343110a65fbcaf3813555b06371e3,300,,,rolling_origin_replay
2026-07-05T22:07:29.817738+00:00,production_readiness_scorecard,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\production_readiness_scorecard_20260705_220729_1b14062bcc.csv,1b14062bcca0257c76beb8ff1b2892f9644d29aef972ea59ed646fdca4556755,9,,,rolling_origin_replay
2026-07-05T22:07:29.878830+00:00,june_hot_origin_diagnostics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\june_hot_origin_diagnostics_20260705_220729_5294fff585.csv,5294fff585810920328d8ba73b572d72f0c895df58af669c50a163caf4ccbaa7,266,2025-06-01T21:00:00+00:00,2026-06-14T03:00:00+00:00,rolling_origin_replay
2026-07-06T00:08:55.444285+00:00,rolling_origin_replay_results,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_results_20260706_000854_59699fee93.csv,59699fee93ced95dc076067ff3e6f736a2f89c983f415b32f1a863f19f346a8d,7680,2024-10-13T07:00:00+00:00,2026-06-14T06:00:00+00:00,rolling_origin_replay
2026-07-06T00:08:55.457285+00:00,rolling_origin_replay_stage_metrics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_stage_metrics_20260706_000855_07d9b39879.csv,07d9b398798a2644f3863be878f2f6068d06245acd445dd57ad445cf3219890e,15,,,rolling_origin_replay
2026-07-06T00:08:55.486319+00:00,rolling_origin_replay_origin_metrics_by_stage,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_origin_metrics_by_stage_20260706_000855_112c63fa3c.csv,112c63fa3cad4d7349879c42aef2d07bca236d3bb7ddea231979874b7e17706b,300,,,rolling_origin_replay
